a00	A00 - Kolera
a158	A15.8 - Annan tuberkulos i andningsorganen, verifierad bakteriologiskt och histologiskt
a159	A15.9 - Tuberkulos i andningsorganen, ospecificerad, verifierad bakteriologiskt och histologiskt
a16	A16 - Tuberkulos i andningsorganen, ej verifierad bakteriologiskt eller histologiskt
a160	A16.0 - Lungtuberkulos med bakteriologiskt och histologiskt negativt fynd
a161	A16.1 - Lungtuberkulos, bakteriologisk och histologisk undersökning ej genomförd
a162	A16.2 - Lungtuberkulos, utan uppgift om bakteriologisk eller histologisk verifikation
a163	A16.3 - Tuberkulos i intratorakala lymfkörtlar, utan uppgift om bakteriologisk eller histologisk verifikation
a164	A16.4 - Tuberkulos i larynx, trakea och bronk utan uppgift om bakteriologisk eller histologisk verifikation
a165	A16.5 - Tuberkulös pleurit utan uppgift om bakteriologisk eller histologisk verifikation
a167	A16.7 - Primär tuberkulos i andningsorganen utan uppgift om bakteriologisk eller histologisk verifikation
a168	A16.8 - Annan tuberkulos i andningsorganen utan uppgift om bakteriologisk eller histologisk verifikation
a169	A16.9 - Tuberkulos i icke specificerat andningsorgan utan uppgift om bakteriologisk eller histologisk verifikation
a17	A17 - Tuberkulos i nervsystemet
a170	A17.0 - Tuberkulös meningit
a171	A17.1 - Meningealt tuberkulom
a178	A17.8 - Annan tuberkulos i nervsystemet
a179	A17.9 - Tuberkulos i nervsystemet, ospecificerad
a18	A18 - Tuberkulos i andra organ
a180	A18.0 - Tuberkulos i skelettet och lederna
a181	A18.1 - Tuberkulos i urin- och könsorganen
a182	A18.2 - Tuberkulös perifer lymfadenopati
a183	A18.3 - Tuberkulos i tarmarna, peritoneum och mesenterialkörtlarna
a184	A18.4 - Tuberkulos i hud och subkutan vävnad
a184c	A18.4C - Lupus vulgaris UNS
a184d	A18.4D - Scrofuloderma
a184e	A18.4E - Tuberkulöst erythema induratum
a184f	A18.4F - Tuberkulöst erythema nodosum
a184g	A18.4G - Tuberkulöst hudsår
a184h	A18.4H - Tuberculosis verrucosa cutis
a184j	A18.4J - Acne scrofulosorum
a184k	A18.4K - Lichen scrofulosorum
a184l	A18.4L - Papulonekrotisk tuberkulid
a184x	A18.4X - Tuberkulos i hud och subkutan vävnad, ospecificerad
a185	A18.5 - Tuberkulos i öga
a186	A18.6 - Tuberkulos i öra
a187	A18.7 - Tuberkulos i binjurar
a188	A18.8 - Tuberkulos i andra specificerade organ
a19	A19 - Miliartuberkulos (utspridd tuberkulos)
a190	A19.0 - Akut miliartuberkulos, en enda specificerad lokalisation
a191	A19.1 - Akut miliartuberkulos, flera lokalisationer
a192	A19.2 - Icke specificerad akut miliartuberkulos
a198	A19.8 - Annan miliartuberkulos
a199	A19.9 - Miliartuberkulos, ospecificerad
a20	A20 - Pest
a200	A20.0 - Böldpest
a201	A20.1 - Cellulokutan pest
a202	A20.2 - Lungpest
a203	A20.3 - Meningit av Yersinia pestis
a207	A20.7 - Pestseptikemi
a208	A20.8 - Andra specificerade pestformer
a209	A20.9 - Pest, ospecificerad
a21	A21 - Tularemi (harpest)
a210	A21.0 - Ulceroglandulär tularemi
a211	A21.1 - Okuloglandulär tularemi
a212	A21.2 - Pulmonell tularemi
a213	A21.3 - Gastrointestinal tularemi
a217	A21.7 - Generaliserad tularemi
a218	A21.8 - Andra specificerade tularemiformer
a219	A21.9 - Tularemi, ospecificerad
a22	A22 - Mjältbrand
a220	A22.0 - Kutan antrax
a221	A22.1 - Pulmonell antrax
a222	A22.2 - Gastrointestinal antrax
a227	A22.7 - Antraxseptikemi
a228	A22.8 - Andra specificerade antraxformer
a229	A22.9 - Antrax, ospecificerad
a23	A23 - Undulantfeber
a230	A23.0 - Brucellos orsakad av Brucella melitensis
a231	A23.1 - Brucellos orsakad av Brucella abortus
a232	A23.2 - Brucellos orsakad av Brucella suis
a233	A23.3 - Brucellos orsakad av Brucella canis
a238	A23.8 - Annan specificerad brucellos
a239	A23.9 - Brucellos, ospecificerad
a24	A24 - Rots och melioidos
a240	A24.0 - Rots
a241	A24.1 - Akut och fulminant melioidos
a242	A24.2 - Subakut och kronisk melioidos
a243	A24.3 - Annan specificerad melioidos
a244	A24.4 - Melioidos, ospecificerad
a25	A25 - Råttbettsfeber
a250	A25.0 - Spirillos
a251	A25.1 - Streptobacillos
a259	A25.9 - Råttbettsfeber, ospecificerad
a26	A26 - Erysipeloid
a260	A26.0 - Kutan erysipeloid
a267	A26.7 - Erysipelothrix-septikemi
a268	A26.8 - Andra specificerade former av erysipeloid
a269	A26.9 - Erysipeloid, ospecificerad
a27	A27 - Leptospiros
a270	A27.0 - Leptospirosis icterohaemorrhagica
a278	A27.8 - Andra specificerade former av leptospiros
a279	A27.9 - Leptospiros, ospecificerad
a28	A28 - Andra djurburna bakteriesjukdomar som ej klassificeras annorstädes
a280	A28.0 - Pasteurellos
a281	A28.1 - Cat-scratch-feber
a282	A28.2 - Extraintestinal yersinios
a288	A28.8 - Andra specificerade djurburna bakteriesjukdomar som ej klassificeras annorstädes
a289	A28.9 - Djurburen bakteriesjukdom, ospecificerad
a30	A30 - Lepra
a300	A30.0 - Obestämbar lepra
a301	A30.1 - Tuberkuloid lepra
a302	A30.2 - Borderline-tuberkuloid lepra
a303	A30.3 - Borderline-lepra
a304	A30.4 - Borderline-lepromatös lepra
a305	A30.5 - Lepromatös lepra
a308	A30.8 - Andra specificerade former av lepra
a309	A30.9 - Lepra, ospecificerad
a31	A31 - Sjukdomar orsakade av andra mykobakterier
a310	A31.0 - Mykobakteriell lungaffektion
a311	A31.1 - Mykobakteriell hudaffektion
a318	A31.8 - Andra specificerade mykobakteriella infektioner
a319	A31.9 - Mykobakteriell infektion, ospecificerad
a32	A32 - Listerios
a320	A32.0 - Hudlisterios
a321	A32.1 - Meningit och meningoencefalit orsakad av Listeria
a327	A32.7 - Septikemi orsakad av Listeria
a328	A32.8 - Andra former av listerios
a329	A32.9 - Listerios, ospecificerad
a33	A33 - Stelkramp hos nyfödd
a339	A33.9 - Stelkramp hos nyfödd
a34	A34 - Obstetrisk stelkramp
a349	A34.9 - Obstetrisk stelkramp
a35	A35 - Annan stelkramp
a359	A35.9 - Annan stelkramp
a36	A36 - Difteri
a360	A36.0 - Svalgdifteri
a361	A36.1 - Difteri i nasofarynx
a362	A36.2 - Larynxdifteri
a363	A36.3 - Difteri i hud
a368	A36.8 - Andra former av difteri
a369	A36.9 - Difteri, ospecificerad
a37	A37 - Kikhosta
a370	A37.0 - Kikhosta orsakad av Bordetella pertussis
a371	A37.1 - Kikhosta orsakad av Bordetella parapertussis
a378	A37.8 - Kikhosta orsakad av andra specificerade bordetellaarter
a379	A37.9 - Kikhosta, ospecificerad
a38	A38 - Scharlakansfeber
a389	A38.9 - Scharlakansfeber
a39	A39 - Meningokockinfektion
a390	A39.0 - Meningokockmeningit
a391	A39.1 - Waterhouse-Friderichsens syndrom
a392	A39.2 - Akut meningokockemi
a393	A39.3 - Kronisk meningokockemi
a394	A39.4 - Meningokockemi, ospecificerad
a395	A39.5 - Hjärtsjukdom orsakad av meningokocker
a398	A39.8 - Andra meningokockinfektioner
a399	A39.9 - Meningokockinfektion, ospecificerad
a40	A40 - Septikemi (blodförgiftning) orsakad av streptokocker
a400	A40.0 - Septikemi orsakad av streptokocker grupp A
a401	A40.1 - Septikemi orsakad av streptokocker grupp B
a402	A40.2 - Septikemi orsakad av streptokocker grupp D
a403	A40.3 - Septikemi orsakad av Streptococcus pneumoniae
a408	A40.8 - Annan specificerad streptokockseptikemi
a409	A40.9 - Streptokockseptikemi, ospecificerad
a41	A41 - Annan septikemi
a410	A41.0 - Septikemi orsakad av Staphylococcus aureus
a411	A41.1 - Septikemi orsakad av annan specificerad stafylokock
a412	A41.2 - Septikemi orsakad av icke specificerad stafylokock
a413	A41.3 - Septikemi orsakad av Haemophilus influenzae
a414	A41.4 - Septikemi orsakad av anaeroba bakterier
a415	A41.5 - Septikemi orsakad av andra gramnegativa organismer
a418	A41.8 - Andra specificerade septikemier
a419	A41.9 - Septikemi, ospecificerad
a42	A42 - Aktinomykos (strålsvamp)
a420	A42.0 - Pulmonell aktinomykos
a421	A42.1 - Abdominell aktinomykos
a422	A42.2 - Cervikofacial aktinomykos
a427	A42.7 - Aktinomykotisk septikemi
a428	A42.8 - Andra specificerade former av aktinomykos
a429	A42.9 - Aktinomykos, ospecificerad
a43	A43 - Nokardios
a430	A43.0 - Pulmonell nokardios
a431	A43.1 - Kutan nokardios
a438	A43.8 - Andra specificerade former av nokardios
a439	A43.9 - Nokardios, ospecificerad
a44	A44 - Bartonellos
a440	A44.0 - Systemisk bartonellos
a441	A44.1 - Kutan och mukokutan bartonellos
a448	A44.8 - Andra specificerade former av bartonellos
a449	A44.9 - Bartonellos, ospecificerad
a46	A46 - Rosfeber
a469	A46.9 - Rosfeber
a48	A48 - Andra bakteriesjukdomar som ej klassificeras annorstädes
a480	A48.0 - Gasgangrän
a481	A48.1 - Legionärsjuka
a482	A48.2 - Icke-pneumonisk legionärsjuka
a483	A48.3 - Toxic shock syndrome
a484	A48.4 - Brasiliansk purpurafeber
a488	A48.8 - Andra specificerade bakteriesjukdomar
a488a	A48.8A - Trichomycosis axillaris
a488b	A48.8B - Rinosklerom
a488w	A48.8W - Andra specificerade bakteriesjukdomar
a49	A49 - Bakterieinfektion med icke specificerad lokalisation
a490	A49.0 - Stafylokockinfektion, ospecificerad lokalisation
a491	A49.1 - Streptokockinfektion, ospecificerad lokalisation
a491a	A49.1A - Pneumokockinfektion UNS
a491w	A49.1W - Streptokocker UNS
a492	A49.2 - Haemophilus influenzae-infektion, ospecificerad lokalisation
a493	A49.3 - Mykoplasmainfektion, ospecificerad lokalisation
a498	A49.8 - Infektion med andra bakterier, ospecificerad lokalisation
a498a	A49.8A - E coli-infektion UNS
a498w	A49.8W - Infektion orsakad av annan specificerad bakterie, ospecificerad lokalisation
a499	A49.9 - Bakterieinfektion, ospecificerad
a50	A50 - Medfödd syfilis
a500	A50.0 - Tidig medfödd syfilis med symtom
a501	A50.1 - Tidig medfödd latent syfilis
a502	A50.2 - Icke specificerad tidig medfödd syfilis
a503	A50.3 - Sen medfödd syfilitisk okulopati
a504	A50.4 - Sen medfödd neurosyfilis
a505	A50.5 - Annan sen medfödd syfilis med symtom
a506	A50.6 - Sen medfödd latent syfilis
a507	A50.7 - Icke specificerad sen medfödd syfilis
a509	A50.9 - Medfödd syfilis, ospecificerad
a51	A51 - Tidig syfilis
a510	A51.0 - Primär genital syfilis
a511	A51.1 - Primär anal syfilis
a512	A51.2 - Primär syfilis med andra lokalisationer
a513	A51.3 - Sekundär syfilis i hud och slemhinnor
a513a	A51.3A - Condyloma latum
a513b	A51.3B - Syfilitisk (sekundär) alopeci
a513c	A51.3C - Syfilitisk leukoderma
a513x	A51.3X - Sekundär syfilis i hud och slemhinnor, ospecificerad
a514	A51.4 - Annan sekundär syfilis
a515	A51.5 - Tidig latent syfilis
a519	A51.9 - Tidig syfilis, ospecificerad
a52	A52 - Sen syfilis
a520	A52.0 - Kardiovaskulär syfilis
a521	A52.1 - Symtomatisk neurosyfilis
a522	A52.2 - Asymtomatisk neurosyfilis
a523	A52.3 - Neurosyfilis, ospecificerad
a527	A52.7 - Annan symtomatisk sen syfilis
a528	A52.8 - Sen latent syfilis
a529	A52.9 - Sen syfilis, ospecificerad
a53	A53 - Annan och icke specificerad syfilis
a530	A53.0 - Latent syfilis, ej specificerad som tidig eller sen
a539	A53.9 - Syfilis ospecificerad
a54	A54 - Gonokockinfektion
a540	A54.0 - Gonokockinfektion i könsorganen och de nedre urinvägarna utan abscess i periuretrala eller accessoriska körtlar
a540a	A54.0A - Gonokockcervicit UNS
a540c	A54.0C - Gonokockuretrit UNS
a540d	A54.0D - Gonokockvulvovaginit UNS
a540e	A54.0E - Gonokockbalanit (akut) (kronisk)
a540f	A54.0F - Gonokockorsakad lymfangit i penis
a540x	A54.0X - Gonokockinfektion i könsorgan och nedre urinvägar utan abscess, ospecificerad
a541	A54.1 - Gonokockinfektion i könsorganen och de nedre urinvägarna med abscess i periuretrala och accessoriska körtlar
a542	A54.2 - Gonokockpelviperitonit och andra gonokockinfektioner i urin- och könsorganen
a543	A54.3 - Gonokockinfektion i ögat
a544	A54.4 - Gonokockinfektion i muskuloskeletala systemet
a545	A54.5 - Gonokockfaryngit
a546	A54.6 - Gonokockinfektion i anus och rektum
a548	A54.8 - Andra gonokockinfektioner
a549	A54.9 - Gonokockinfektion, ospecificerad
a55	A55 - Lymfogranulom (veneriskt) orsakat av klamydia
a559	A55.9 - Lymfogranulom orsakat av klamydia
a56	A56 - Andra sexuellt överförda klamydiasjukdomar
a560	A56.0 - Klamydiainfektion i nedre delen av urin- och könsorganen
a560a	A56.0A - Klamydiacervicit
a560c	A56.0C - Klamydiauretrit
a560d	A56.0D - Klamydiavulvovaginit
a560x	A56.0X - Klamydiainfektion i nedre delen av urin- och könsorganen, ospecificerad
a561	A56.1 - Klamydiainfektion i pelviperitoneum och andra urin- och könsorgan
a562	A56.2 - Klamydiainfektion i urin- och könsorganen, ospecificerad
a563	A56.3 - Klamydiainfektion i anus och rektum
a564	A56.4 - Klamydiainfektion i svalget
a568	A56.8 - Sexuellt överförd klamydiainfektion med andra specificerade lokalisationer
a57	A57 - Chankroid (mjuk schanker)
a579	A57.9 - Chankroid
a58	A58 - Granuloma inguinale
a589	A58.9 - Granuloma inguinale
a59	A59 - Trikomonasinfektion
a590	A59.0 - Urogenital trikomonasinfektion
a598	A59.8 - Trikomonasinfektion med andra lokalisationer
a599	A59.9 - Trikomonasinfektion, ospecificerad
a60	A60 - Anogenital infektion med herpes simplex-virus
a600	A60.0 - Urogenital infektion med herpes simplex-virus
a601	A60.1 - Infektion med herpes simplex-virus i den perianala huden och rektum
a609	A60.9 - Anogenital infektion med herpes simplex-virus
a63	A63 - Andra huvudsakligen sexuellt överförda sjukdomar som ej klassificeras annorstädes
a630	A63.0 - Condyloma acuminatum
a630a	A63.0A - Spetsiga kondylom
a630b	A63.0B - Platta kondylom
a630x	A63.0X - Kondylom, ospecificerade
a638	A63.8 - Andra specificerade huvudsakligen sexuellt överförda sjukdomar
a64	A64 - Icke specificerad sexuellt överförd sjukdom
a649	A64.9 - Icke specificerad sexuellt överförd sjukdom
a65	A65 - Icke venerisk syfilis
a659	A65.9 - Icke venerisk syfilis
a66	A66 - Yaws
a660	A66.0 - Primärlesioner vid yaws
a661	A66.1 - Multipla papillom och wet crab yaws
a662	A66.2 - Andra tidiga hudlesioner vid yaws
a663	A66.3 - Hyperkeratos vid yaws
a664	A66.4 - Gumma och sår vid yaws
a665	A66.5 - Gangosa
a666	A66.6 - Ben- och ledlesioner vid yaws
a667	A66.7 - Andra manifestationer vid yaws
a668	A66.8 - Latent yaws
a669	A66.9 - Yaws, ospecificerad
a67	A67 - Pinta
a670	A67.0 - Primära lesioner vid pinta
a671	A67.1 - Intermediära lesioner vid pinta
a672	A67.2 - Sena lesioner vid pinta
a673	A67.3 - Blandade lesioner vid pinta
a679	A67.9 - Pinta, ospecificerad
a68	A68 - Återfallsfeber
a680	A68.0 - Återfallsfeber överförd av löss
a681	A68.1 - Återfallsfeber överförd av fästingar
a689	A68.9 - Återfallsfeber, ospecificerad
a69	A69 - Andra spiroketinfektioner
a690	A69.0 - Nekrotiserande ulcerös stomatit
a691	A69.1 - Andra Vincent-infektioner
a692	A69.2 - Infektion orsakad av Borrelia burgdorferi
a698	A69.8 - Andra specificerade spiroketinfektioner
a699	A69.9 - Spiroketinfektion, ospecificerad
a70	A70 - Infektion orsakad av Chlamydia psittaci (papegojsjuka)
a709	A70.9 - Infektion orsakad av Chlamydia psittaci
a71	A71 - Trakom
a710	A71.0 - Trakom i tidigt stadium
a711	A71.1 - Trakom i aktivt skede
a719	A71.9 - Trakom, ospecificerad
a74	A74 - Andra sjukdomar orsakade av klamydier
a740	A74.0 - Klamydiakonjunktivit
a748	A74.8 - Andra specificerade klamydiainfektioner
a749	A74.9 - Klamydiainfektion, ospecificerad
a75	A75 - Fläcktyfus överförd av löss, loppor och kvalster
a750	A75.0 - Epidemisk fläcktyfus orsakad av Rickettsia prowazekii
a751	A75.1 - Fläcktyfus med återuppblossande
a752	A75.2 - Fläcktyfus orsakad av Rickettsia typhi
a753	A75.3 - Fläcktyfus orsakad av Rickettsia tsutsugamushi
a759	A75.9 - Fläcktyfus, ospecificerad
a77	A77 - Rickettsiasjukdom överförd av fästingar
a770	A77.0 - Fläckfeber orsakad av Rickettsia rickettsii
a771	A77.1 - Fläckfeber orsakad av Rickettsia conorii
a772	A77.2 - Fläckfeber orsakad av Rickettsia sibirica
a773	A77.3 - Fläckfeber orsakad av Rickettsia australis
a778	A77.8 - Annan specificerad fläckfeber
a779	A77.9 - Fläckfeber, ospecificerad
a78	A78 - Q-feber
a789	A78.9 - Q-feber
a79	A79 - Andra rickettsiasjukdomar
a790	A79.0 - Skyttegravsfeber
a791	A79.1 - Rickettsia-koppor orsakade av Rickettsia akari
a798	A79.8 - Andra specificerade rickettsiasjukdomar
a799	A79.9 - Rickettsiasjukdom, ospecificerad
a80	A80 - Akut polio (barnförlamning)
a800	A80.0 - Akut polio med förlamningar orsakad av poliovaccinvirus
a801	A80.1 - Akut polio med förlamningar orsakad av vilt importerat virus
a802	A80.2 - Akut polio med förlamningar orsakad av vilt inhemskt virus
a803	A80.3 - Akut polio med förlamningar, annan och ospecificerad
a804	A80.4 - Akut polio utan förlamningar
a809	A80.9 - Akut polio, ospecificerad
a81	A81 - Atypisk virusinfektion i centrala nervsystemet
a810	A81.0 - Creutzfeldt-Jakobs sjukdom
a811	A81.1 - Subakut skleroserande panencefalit
a812	A81.2 - Progressiv multifokal leukoencefalopati
a818	A81.8 - Andra atypiska virusinfektioner i centrala nervsystemet
a819	A81.9 - Atypisk virusinfektion i centrala nervsystemet, ospecificerad
a82	A82 - Rabies (vattuskräck)
a820	A82.0 - Rabies, sylvatisk form
a821	A82.1 - Rabies, urban form
a829	A82.9 - Rabies, ospecificerad
a83	A83 - Virusencefalit överförd av myggor
a830	A83.0 - Japansk encefalit
a831	A83.1 - Western equine encephalitis
a832	A83.2 - Eastern equine encephalitis
a833	A83.3 - St Louis encephalitis
a834	A83.4 - Australian encephalitis
a835	A83.5 - California encephalitis
a836	A83.6 - Rocio-virusencefalit
a838	A83.8 - Annan specificerad virusencefalit överförd av myggor
a839	A83.9 - Virusencefalit överförd av myggor, ospecificerad
a84	A84 - Virusencefalit överförd av fästingar
a840	A84.0 - Fjärranösternencefalit överförd av fästingar
a841	A84.1 - Centraleuropeisk encefalit överförd av fästingar
a848	A84.8 - Annan specificerad virusencefalit överförd av fästingar
a849	A84.9 - Virusencefalit överförd av fästingar, ospecificerad
a85	A85 - Andra virusencefaliter som ej klassificeras annorstädes
a850	A85.0 - Enteroviral encefalit
a851	A85.1 - Adenoviral encefalit
a852	A85.2 - Virusencefalit överförd av leddjur, ospecificerad
a858	A85.8 - Andra specificerade virusencefaliter
a86	A86 - Icke specificerad virusencefalit
a869	A86.9 - Icke specificerad virusencefalit
a87	A87 - Virusmeningit
a870	A87.0 - Meningit orsakad av enterovirus
a870a	A87.0A - Meningit av Coxsackievirus
a870b	A87.0B - Meningit av Echovirus
a870w	A87.0W - Meningit orsakad av annat specificerat enterovirus
a871	A87.1 - Meningit orsakad av adenovirus
a872	A87.2 - Lymfocytär koriomeningit
a878	A87.8 - Andra specificerade virusmeningiter
a879	A87.9 - Virusmeningit, ospecificerad
a88	A88 - Andra virusinfektioner i centrala nervsystemet som ej klassificeras annorstädes
a880	A88.0 - Enteroviral exanthematous fever
a881	A88.1 - Epidemisk vertigo
a888	A88.8 - Andra specificerade virusinfektioner i centrala nervsystemet
a89	A89 - Icke specificerad virusinfektion i centrala nervsystemet
a899	A89.9 - Icke specificerad virusinfektion i centrala nervsystemet
a90	A90 - Denguefeber (klassisk dengue)
a909	A90.9 - Denguefeber
a91	A91 - Hemorragisk denguefeber
a919	A91.9 - Hemorragisk denguefeber
a92	A92 - Andra febersjukdomar orsakade av virus överförda av myggor
a920	A92.0 - Chikungunya-virussjukdom
a921	A92.1 - O'nyong-nyong-feber
a922	A92.2 - Venezuelan equine encephalitis
a923	A92.3 - West Nile virus-infektion
a924	A92.4 - Rift Valley fever
a928	A92.8 - Andra specificerade febersjukdomar orsakade av virus överförda av myggor
a929	A92.9 - Febersjukdom orsakad av virus överförd av myggor, ospecificerad
a93	A93 - Andra febersjukdomar orsakade av virus överförda av leddjur, som ej klassificeras annorstädes
a930	A93.0 - Oropouche-virussjukdom
a931	A93.1 - Sandmyggefeber
a932	A93.2 - Colorado-fästingfeber
a938	A93.8 - Andra specificerade virusfebersjukdomar överförda av leddjur
a94	A94 - Icke specificerad febersjukdom orsakad av virus överfört av leddjur
a949	A94.9 - Icke specificerad febersjukdom orsakad av virus överfört av leddjur
a95	A95 - Gula febern
a950	A95.0 - Gula febern, sylvatisk form
a951	A95.1 - Gula febern, urban form
a959	A95.9 - Gula febern, ospecificerad
a96	A96 - Arenaviral hemorragisk feber
a960	A96.0 - Hemorragisk junin-virusfeber
a961	A96.1 - Machupo hemorragisk feber
a962	A96.2 - Lassa-feber
a968	A96.8 - Andra specificerade arenavirala hemorragiska febrar
a969	A96.9 - Arenaviral hemorragisk feber, ospecificerad
a98	A98 - Andra hemorragiska febersjukdomar orsakade av virus som ej klassificeras annorstädes
a980	A98.0 - Centralasiatisk hemorragisk feber
a981	A98.1 - Omskfeber
a982	A98.2 - Kyasanur Forest disease
a983	A98.3 - Marburgfeber
a984	A98.4 - Ebolafeber
a985	A98.5 - Hemorragisk feber med njurpåverkan
a988	A98.8 - Andra specificerade virala hemorragiska febersjukdomar
a99	A99 - Icke specificerad hemorragisk febersjukdom orsakad av virus
a999	A99.9 - Icke specificerad hemorragisk febersjukdom orsakad av virus
b00	B00 - Herpes simplex-infektioner
b000	B00.0 - Eczema herpeticum
b001	B00.1 - Vesikulär dermatit orsakad av herpes simplex-virus
b001a	B00.1A - Herpes labialis
b001b	B00.1B - Herpes facialis
b001x	B00.1X - Vesikulär dermatit orsakad av herpes simplex-virus, ospecificerad
b002	B00.2 - Gingivostomatit och faryngotonsillit orsakade av herpes simplex-virus
b003	B00.3 - Meningit orsakad av herpes simplex-virus
b004	B00.4 - Encefalit orsakad av herpes simplex-virus
b005	B00.5 - Ögonsjukdom orsakad av herpes simplex-virus
b007	B00.7 - Disseminerad herpes simplex-infektion
b008	B00.8 - Andra specificerade former av infektion med herpes simplex-virus
b009	B00.9 - Herpes simplex-infektion, ospecificerad
b01	B01 - Vattkoppor
b010	B01.0 - Vattkoppor med meningit
b011	B01.1 - Vattkoppsencefalit
b012	B01.2 - Vattkoppor med pneumoni
b018	B01.8 - Vattkoppor med andra specificerade komplikationer
b019	B01.9 - Vattkoppor utan komplikation
b02	B02 - Bältros
b020	B02.0 - Bältros med encefalit
b021	B02.1 - Bältros med meningit
b022	B02.2 - Bältros med andra komplikationer från nervsystemet
b023	B02.3 - Bältros med ögonkomplikationer
b027	B02.7 - Generaliserad bältros
b028	B02.8 - Bältros med andra specificerade komplikationer
b029	B02.9 - Bältros utan komplikation
b03	B03 - Smittkoppor
b039	B03.9 - Smittkoppor
b04	B04 - Apkoppor
b049	B04.9 - Apkoppor
